Humidity,Max_temp,Wind_speed,city,date,latitude,longitude
83,78.35,9.01,lorengau,1564246198,-2.02,147.27
80,55.31,1.48,nizhniy kuranakh,1564246198,58.84,125.49
80,32.45,4.07,deputatskiy,1564246198,69.3,139.9
86,51.53,8.48,ambositra,1564246199,-20.53,47.24
75,80.15,17.47,surt,1564246138,31.21,16.59
75,80.15,17.47,mendahara,1564246138,31.21,16.59
93,39.83,5.28,leningradskiy,1564246199,69.38,178.42
27,88.61,6.96,pombas,1564246199,-15.9,-54.74
88,78.8,6.93,kloulklubed,1564246200,7.04,134.26
58,91.0,4.14,pochutla,1564246200,15.74,-96.47
98,54.95,4.94,mandal,1564246200,48.82,106.5
98,54.95,4.94,krasnoselkup,1564246200,48.82,106.5
26,101.21,11.92,araouane,1564246200,18.9,-3.53
65,44.6,6.93,coihaique,1564246144,-45.58,-72.07
54,82.0,12.75,shelburne,1564246201,44.08,-80.2
75,50.81,4.07,beringovskiy,1564246201,63.05,179.32
75,50.81,4.07,tsihombe,1564246201,63.05,179.32
41,82.99,11.41,torbay,1564246201,47.66,-52.73
41,82.99,11.41,maghama,1564246201,47.66,-52.73
92,53.01,2.3,coolum beach,1564246202,-26.53,153.09
68,54.05,3.4,gornopravdinsk,1564246202,60.06,69.92
62,44.87,13.22,khatanga,1564246202,71.98,102.47
53,73.4,4.7,goma,1564246202,-1.67,29.23
54,91.0,4.7,texarkana,1564246203,33.44,-94.04
59,66.99,7.14,jackson,1564246081,43.48,-110.76
82,68.0,12.75,reigate,1564246203,51.24,-0.21
100,77.0,1.12,can tho,1564245983,10.04,105.78
74,61.97,6.67,pudozh,1564246203,61.81,36.54
87,64.0,5.82,bowen,1564246147,-20.01,148.25
84,71.69,8.75,ilhabela,1564246204,-23.78,-45.36
69,56.03,7.76,chuy,1564246204,-33.69,-53.46
53,95.0,11.54,gat,1564246204,14.69,-16.54
78,75.2,8.05,tautira,1564246204,-17.73,-149.15
94,73.4,3.36,kathmandu,1564245980,27.71,85.32
88,62.6,8.95,polazna,1564246205,58.29,56.41
54,84.2,12.75,ashtabula,1564245962,41.87,-80.79
83,42.01,2.19,parkes,1564245956,-33.14,148.18
73,73.4,18.34,nouadhibou,1564246086,20.93,-17.03
74,86.0,4.7,laguna,1564246205,16.17,-88.94
76,57.2,6.93,hay river,1564246205,60.82,-115.79
90,36.95,8.81,chokurdakh,1564246206,70.62,147.9
83,78.8,8.05,salalah,1564246206,17.01,54.1
46,71.6,16.11,kijabe,1564246206,-0.95,36.6
44,75.99,5.99,patos de minas,1564246206,-18.6,-46.51
94,78.8,9.17,ahuimanu,1564246206,21.44,-157.84
13,62.15,3.56,shakawe,1564246207,-18.36,21.84
37,91.0,6.93,hanford,1564246207,36.33,-119.65
79,46.67,6.53,lavrentiya,1564246207,65.58,-170.99
98,32.99,5.97,pevek,1564246207,69.7,170.27
82,79.25,11.81,buala,1564246208,-8.15,159.59
36,72.95,12.62,roebourne,1564246208,-20.77,117.15
56,75.0,9.17,vannes,1564246208,47.66,-2.76
96,70.61,4.47,koubia,1564246208,11.59,-11.89
69,48.99,3.49,narrabri,1564246208,-30.33,149.78
74,83.03,8.72,palauig,1564246209,15.44,119.9
62,89.01,9.17,panama city,1564246172,30.16,-85.65
53,82.99,8.05,gerstetten,1564246209,48.62,10.02
72,64.0,10.29,ballina,1564246209,54.11,-9.15
96,73.85,0.4,muroto,1564246209,33.37,134.14
90,49.37,20.67,pangody,1564246210,65.85,74.49
68,70.97,12.84,isangel,1564246210,-19.55,169.27
97,47.75,3.0,toora-khem,1564246210,52.47,96.11
50,82.4,9.17,harnosand,1564246210,62.63,17.94
44,78.01,8.05,mariental,1564246211,-25.72,-49.65
100,53.6,27.51,vestmannaeyjar,1564246211,63.44,-20.27
98,57.65,2.62,rantepao,1564246211,-2.97,119.9
39,81.77,11.77,beyneu,1564246124,45.32,55.19
33,102.2,3.36,abu dhabi,1564245911,24.47,54.37
35,61.43,4.65,opuwo,1564246211,-18.06,13.84
35,90.0,5.82,wilmington,1564246212,39.75,-75.55
93,59.0,4.7,byron bay,1564246212,-28.65,153.62
83,80.6,2.24,victoria,1564246038,5.28,115.24
